Seoul
37° 34’ 00” N 126° 58’ 41” E
37.56667 126.97806
Busan
35° 10’ 46” N 129° 04’ 32” E
35.17944 129.07556
Incheon
37° 27’ 23” N 126° 42’ 19” E
37.45639 126.70528
Daegu
35° 52’ 20” N 128° 36’ 09” E
35.87222 128.60250
Anyang
37° 23’ 40” N 126° 57’ 20” E
37.39444 126.95556
Daejeon
36° 21’ 04” N 127° 23’ 06” E
36.35111 127.38500
Gwangju
35° 09’ 35” N 126° 51’ 11” E
35.15972 126.85306
Suwon
37° 15’ 50” N 127° 01’ 43” E
37.26389 127.02861
Ulsan
35° 32’ 20” N 129° 19’ 00” E
35.53889 129.31667
Changwon
35° 13’ 45” N 128° 40’ 30” E
35.22917 128.67500
Goyang
37° 39’ 30” N 126° 49’ 50” E
37.65833 126.83056
Sungnam
37° 26’ 50” N 127° 08’ 15” E
37.44722 127.13750
Yongin
37° 14’ 34” N 127° 10’ 44” E
37.24278 127.17889
Bucheon
37° 30’ 13” N 126° 45’ 58” E
37.50361 126.76611
Ansan
37° 19’ 20” N 126° 49’ 51” E
37.32222 126.83083
Cheongju
36° 38’ 38” N 127° 29’ 22” E
36.64389 127.48944
Jeonju
35° 49’ 30” N 127° 09’ 00” E
35.82500 127.15000
Cheonahn
36° 48’ 55” N 127° 06’ 50” E
36.81528 127.11389
Namyangju
37° 38’ 13” N 127° 13’ 01” E
37.63694 127.21694
Hwaseong
37° 11’ 59” N 126° 49’ 53” E
37.19972 126.83139
Pohang
36° 01’ 10” N 129° 20’ 30” E
36.01944 129.34167
Gimhae
35° 13’ 44” N 128° 53’ 22” E
35.22889 128.88944
Sejong
36° 29’ 15” N 127° 16’ 54” E
36.48750 127.28167
Siheung
37° 22’ 53” N 126° 48’ 10” E
37.38139 126.80278
Pyeontaek
36° 59’ 33” N 127° 06’ 47” E
36.99250 127.11306
Uijeongbu
37° 44’ 20” N 127° 02’ 04” E
37.73889 127.03444
Jeju
33° 30’ 00” N 126° 31’ 00” E
33.50000 126.51667
Paju
37° 45’ 40” N 126° 46’ 40” E
37.76111 126.77778
Gumi
36° 07’ 10” N 128° 20’ 41” E
36.11944 128.34472
Gwangmyeong
37° 28’ 44” N 126° 51’ 52” E
37.47889 126.86444
